"Geslacht";"Leeftijd";"Migratieachtergrond ";"Hoogst behaald onderwijsniveau";"Perioden";"Bevolking (x 1000)"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Nederlandse achtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"       6"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"     195"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"      25"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"      15"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"      46"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"      11"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"       8"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"      63"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"      21"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"       3"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"       1"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"     360"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Niet-westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"      61"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Niet-westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"      53"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Niet-westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"      85"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Niet-westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"      22"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Niet-westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"      21"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Niet-westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"      88"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Niet-westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"      24"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Niet-westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"       4"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Niet-westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"       2"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Nederlandse achtergrond";"Totaal";"2021 2e kwartaal";"    1597"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Nederlandse achtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"      26"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Nederlandse achtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"      53"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Nederlandse achtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"      43"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Nederlandse achtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"     192"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Nederlandse achtergrond";"212 Mbo4";"2021 2e kwartaal";"     256"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Nederlandse achtergrond";"213 Havo, vwo";"2021 2e kwartaal";"     107"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Nederlandse achtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"     539"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Nederlandse achtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"     366"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Nederlandse achtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"      16"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"     224"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"       4"
